name,segment_ids,id,descriptn,part_of
Southwest Portland Willamette Greenway Trail,101277;101288;102281;102540;102628;103714;103800;103891;103928;103941;104175;104378;104391;104589;104644;104724;104896;104907;104923;105137;105372;105661;105799;105805;105898;105926;105980;106194;106247;106387;106415;106416;106417;106619;106620;106621;106722;106738;107148;107230;107394;107543;107694;107798;107912;107941;108024;108025;108026;108027;108028;108113;108291;108617;108672;108741;108935;110248;111067;111362;112533;112677;112834;113780;113828;113980;114147;114377;114520;115170;115173;115423;115424;115448;115451;115452;115455;115459,104589,,""
Marine Drive Trail,101073;101233;101808;101840;102055;102058;102183;102303;102304;102305;102534;102536;102580;102596;102842;102863;103107;103171;103384;103445;103592;103636;103739;103849;103982;104059;104076;104081;104382;104528;105010;105087;105088;105151;105169;105367;105388;105558;105660;105701;105702;105703;105773;105897;105927;105947;106204;106670;106671;106829;106934;106934;107097;107250;107693;107936;108073;108074;108100;108101;108111;108625;108722;109130;109190;109402;109732;109880;110496;110711;110712;110713;110714;110802;110803;110804;110805;110807;110808;110809;110952;111181;112489;113659;113744;114534;114678;114743;114744;114812;114813;114814;114815;114816;114817;114818;114866;114867;114979;114979;114980;114983;114986;115029;115030;115326;99828,105701,,""
North Portland Willamette Greenway,100012;101076;101335;101347;102182;102459;102460;102581;102646;102727;102924;103058;103104;103159;103160;103161;103162;103178;103402;103463;103475;103476;103514;103566;103598;103605;103730;103731;103741;103789;103836;103839;103840;103956;103978;104057;104080;104238;104290;104398;104459;104564;104566;104567;104638;104810;104846;104999;105047;105048;105072;105089;105170;105178;105178;105266;105343;105390;105464;105533;105543;105657;105715;105721;105725;105780;105811;105862;105928;105964;105986;106123;106202;106237;106250;106292;106292;106320;106588;106677;106678;106684;106693;106713;106766;106804;106816;106883;106903;106931;106933;106945;106948;106977;106996;107001;107029;107038;107040;107079;107157;107243;107243;107328;107329;107362;107396;107440;107444;107467;107497;107558;107574;107659;107671;107800;107817;107818;107828;107839;107863;107943;107944;108449;108450;108455;108631;108656;109252;109326;109344;109345;109345;109460;109742;109957;109984;110186;110186;110513;110768;111068;111436;111671;111811;112014;112075;112079;112080;112100;112376;112479;112655;112669;112809;112883;112937;113022;113088;113221;113542;113550;114064;114535;114536;114537;114538;114540;114540;114541;114542;114543;114544;114545;114548;115334;115335;115430;115431;99823,104638,,""
Peninsula Crossing Trail - Connector,100381;100525;100526;100555;115842;115845;115846;99730;99936,99730,,""
N. Columbia Blvd.,103451;104773;104774;105738;105739;105952;105995;105996;106436;106634;106635;107699;107716;107717;108640;109871;110492;111055;112058;112147;112485;112668;113108;113502;113503;113504;113505;113760;114647;114655;115287,105738,,""
Springwater On The Willamette,101488;103001;103131;103744;104282;104535;104548;105185;105279;105310;105398;105480;105818;105918;105924;106317;106356;106372;106373;106580;106761;106762;106932;106944;106951;106952;106994;107106;107151;107161;107327;107377;107391;107470;107475;107512;107514;107560;107823;108046;108047;108212;109399;109739;115328;115562,105818,,""
Newell Ave - Westanna Ave Connector,100502,100502,,""
Columbia Slough Trail,100974;100975;100977;101120;101440;101441;101442;101443;101445;101531;101572;101575;101595;101924;101926;101928;101963;101964;101965;101966;101967;101983;102060;102738;102745;102902;103016;103179;103343;103367;103439;103440;103441;103442;103443;103444;104015;104476;104963;105340;105724;106081;106091;106122;106291;106514;106525;106527;106528;106572;106573;106657;106658;106715;106752;106842;106843;106899;106900;107080;107117;107131;107291;107547;107548;107549;107550;107753;107754;107786;107787;107788;107815;107856;108023;108223;109007;109279;109338;109374;109810;110495;110655;110801;110948;110949;110950;112660;112953;113424;113660;114641;114644;114714;114894;115136;115139;115141;115731;115733;115734;115794;115797,100974,,""
Beaverton to Milwaukie Trail,101419;101556;102164;102629;102630;102827;103165;103437;103655;103837;103930;104395;104396;104682;104683;104684;104685;104686;104991;105596;105732;105804;106083;106084;106085;106086;106089;106090;106092;106093;106094;106309;106522;106523;106524;106751;106755;106756;106781;106824;106839;106930;106937;107613;107614;107683;109406;109407;109408;109956;111437;111898;112540;112541;112542;114422;114525,106083,,""
Delta Park Trail,103367;106122,106122,,""
Lombard St,101806;101807;101865;102200;102201;102202;102203;102204;102205;102206;102207;102239,101806,,""
NW 10th Ave. - Connector,107882;108274;111816;113704;113881,113704,,""
SW Pedestrian Walkway,104066;104865;107352;107353;107399;107400;111054,104865,,""
SW Beaver Ave,104378;104907;108672,104907,,""
N. Columbia Blvd. Connector,113761;114061;114654;114656,113761,,""
NW 10th Ave.,102308;107064;107882;108274;110285;111816;113704;113881,102308,,""
SW Broadway - 6th Avenue Connector,102338;103186;114422,102338,,""
Halsey St - 33rd Ave Connection,113769;114240,113769,,""
Southeast Portland Willamette Greenway Trail,102574;106575;106579;106739;106836;108758;109398,102574,,""
Peninsula Crossing Trail,100381;100525;100526;100555;101167;101374;102332;102728;102826;102969;103451;103918;103976;104058;104457;104928;105205;105255;105340;105475;106307;106690;108048;108049;108112;110495;110708;110709;110710;110801;110951;114201;114202;114716;115842;115844;115845;115846;115847;99730;99936,102728,,""
Waud Bluff Trail,103839;103840;103956;109344;109345,103839,,""
N. Marine Dr. Access,103982,103982,,""
NW Thurman St,112787;112788;112790;112793;113048;113049;113051;113053;114007;114008;114218,114007,,""
SW Pedestrian Walkway - Connector,104066,104066,,""
NW Kearney Street Walkway,104168;104359;107115;107520;107537;107652;110286;111361,104168,,""
Portland - Milwaukie Light Rail Bridge,104280,104280,,""
Gibbs Street Pedestrian Bridge,104305;114635;114717,104305,,""
NE Alderwood Rd,108223;115733,108223,,""
Caruthers St,108758,108758,,""
NW 29th Ave,112422;112423;112789;114651,112422,,""
NE Bridgeton Rd.,109190;114678,109190,,""
Jamison Park Trails - Connector,109393;111211,109393,,""
SE 4th Ave,109399,109399,,""
NW Upshur St,112791;113050;113052,112791,,""
NW 27th Ave,112792,112792,,""
SW Pedestrian Walkways,103176;103712;103761;104111;104250;104985;107096;107312;107316;107422;107518;107841;107885;108061;108066;110280;110363;112284;112315;113734;114151;114720;114724,113734,,""
40-Mile Loop,108830;108830;109230;112422;112423;112425;112787;112788;112789;112790;112791;112792;112793;113048;113049;113050;113051;113052;113053;114007;114008;114218;114651,114007,,""
Portland-Milwaukie Light Rail with Trail,104280,104280,,""
Jamison Square Park Trails,109393;111211;111830;113083;114051,114051,,""
North Park Blocks,107098;107100;107101;112375;112375;112452;112453;112942;112943;112944;113399;113400;113401;113402;113405;113406;113407;115340;115341;115342;115343;115428;115429,107098,,""
North Park Blocks,107099,107099,,""
Peninsula Crossing Trail Connector,110709,110709,,""
NE 92nd Ave,115794;115797,115794,,""
